,vacant_id,greened_id,match_greened_date,violent_100_before,violent_100_after,violent_200_before,violent_200_after,violent_500_before,violent_500_after,nonviolent_100_before,nonviolent_100_after,nonviolent_200_before,nonviolent_200_after,nonviolent_500_before,nonviolent_500_after
2488,404266,5183,2013-03-01,46,45,192,162,694,654,53,46,224,179,1239,929
2489,607134,5197,2008-09-01,26,31,122,113,584,483,36,24,155,143,858,695
2490,193267,6615,2016-03-01,53,42,180,143,1005,923,61,40,170,138,984,837
2491,545784,2334,2011-03-01,54,31,181,151,839,843,55,57,168,140,860,821
2492,1337721,3436,2016-09-01,65,46,187,142,989,956,69,27,166,120,957,879
2493,456837,6052,2016-03-01,11,10,118,128,989,956,13,13,116,100,1020,833
2494,608454,126,2017-03-01,33,42,105,158,466,664,34,36,124,134,510,647
2495,429532,9,2017-03-01,52,49,201,184,899,884,99,73,298,279,1164,1271
2496,253998,3870,2014-03-01,39,59,186,223,885,938,96,107,315,328,1315,1307
2497,781544,3917,2014-03-01,61,58,204,233,867,924,150,150,417,451,1471,1411
2498,386738,6338,2008-03-01,22,42,127,122,833,779,32,33,143,142,1027,959
2499,516514,3871,2014-03-01,61,58,204,233,867,924,150,150,417,451,1471,1411
2500,341446,3916,2014-03-01,61,58,204,233,867,924,150,150,417,451,1471,1411
2501,299061,5830,2007-09-01,35,39,161,182,927,895,37,35,150,143,1038,1049
2502,516617,3867,2014-03-01,45,44,189,232,857,938,132,132,447,440,1485,1431
2503,1139807,2005,2011-03-01,7,10,38,47,354,383,12,7,86,91,548,494
2504,949149,4808,2008-03-01,33,25,95,72,770,647,36,26,110,77,961,787
2505,383072,523,2015-09-01,39,31,179,117,631,504,58,44,202,158,1072,779
2506,748551,6368,2016-03-01,39,24,101,73,584,462,41,36,134,132,670,609
2507,925136,6800,2016-03-01,30,23,101,74,579,459,39,37,135,132,667,608
2508,1276564,6371,2016-03-01,30,24,101,74,569,446,39,37,135,132,666,603
2509,925815,6801,2016-03-01,29,24,100,74,553,439,44,39,136,132,649,598
2510,1101235,6369,2016-03-01,37,23,101,74,582,459,41,37,133,132,668,609
2511,220153,6802,2016-03-01,29,23,102,74,562,443,41,39,137,133,658,601
2512,1050608,1957,2012-03-01,28,24,105,78,479,414,42,39,131,102,565,543
2513,1100872,535,2015-09-01,22,21,75,75,403,343,46,25,134,83,546,508
2514,1364466,1138,2010-03-01,24,19,78,80,408,434,23,34,106,123,513,506
2515,836413,1908,2011-03-01,14,19,61,75,354,379,21,26,99,91,478,467
2516,1012828,1164,2012-09-01,19,20,90,71,406,381,45,25,136,106,518,482
2517,1012834,1052,2016-03-01,39,29,108,87,440,363,33,22,109,74,473,441
2518,331287,6159,2011-03-01,13,10,63,68,455,482,21,27,80,99,586,571
2519,772168,3289,2010-03-01,13,15,72,63,510,504,21,18,85,73,539,573
2520,662339,4838,2016-03-01,19,14,81,53,725,665,31,18,90,64,941,816
