"","1","match_greened_date","greened_id","vacant_id"
"3103","20804","2010-03-01",4264,1176524
"3104","12990","2011-03-01",4265,841189
"3105","12882","2011-03-01",4266,702732
"3106","16497","2011-03-01",4267,1222845
"3107","18235","2011-03-01",4268,1346886
"3108","12379","2011-03-01",4269,360729
"3109","13003","2011-03-01",4270,1014716
"3110","8376","2012-09-01",4271,1049405
"3111","8306","2012-09-01",4272,608615
"3112","18975","2012-09-01",4273,1173653
"3113","10185","2012-09-01",4274,1341117
"3114","16048","2012-09-01",4275,116187
"3115","12712","2012-09-01",4277,1318951
"3116","15247","2012-09-01",4279,589927
"3117","12933","2012-09-01",4280,873120
"3118","19320","2012-09-01",4281,337195
"3119","19367","2012-09-01",4282,391243
"3120","7941","2013-03-01",4284,864066
"3121","12139","2013-03-01",4285,629235
"3122","5036","2011-03-01",4286,63234
"3123","18196","2007-09-01",4287,1193831
"3124","11744","2010-03-01",4288,690339
"3126","21188","2012-09-01",4290,1230806
"3127","20663","2012-09-01",4291,258715
"3128","5435","2012-09-01",4292,828637
"3129","5295","2012-09-01",4293,582056
"3130","17837","2012-09-01",4294,806038
"3131","18704","2011-03-01",4295,1372936
"3132","11458","2011-03-01",4296,717667
"3133","19165","2011-03-01",4297,471769
"3134","12205","2007-09-01",4298,1221050
"3135","12157","2007-09-01",4299,1407088
"3136","13565","2010-03-01",4300,721731
"3137","14543","2010-03-01",4301,31910
"3138","11223","2011-03-01",4302,1022683
"3139","9495","2011-03-01",4303,942825
"3140","9328","2011-03-01",4305,413531
"3141","18540","2011-03-01",4306,419444
"3144","12731","2011-03-01",4309,262662
"3145","11700","2012-09-01",4311,1050552
"3147","5536","2012-09-01",4313,1160351
"3148","5470","2012-09-01",4314,791014
"3149","16846","2012-09-01",4315,977684
"3150","16297","2012-09-01",4316,254289
"3151","4766","2012-09-01",4317,133922
"3152","18470","2012-09-01",4318,1379258
"3153","18461","2012-09-01",4319,498135
"3154","15683","2012-09-01",4320,596349
"3155","8073","2012-09-01",4321,724399
"3157","18590","2012-09-01",4323,579301
"3158","7668","2012-09-01",4324,1143845
"3159","11007","2012-09-01",4325,786277
"3160","9817","2012-09-01",4326,1048622
"3161","12343","2012-09-01",4327,890091
"3162","12167","2013-03-01",4329,717749
"3163","12153","2013-03-01",4330,13520
"3164","6842","2011-03-01",4331,1310298
"3165","19091","2007-09-01",4332,15699
"3166","14644","2010-03-01",4333,104239
"3167","6436","2012-09-01",4334,53817
"3168","13426","2012-09-01",4335,1211428
"3169","12433","2012-09-01",4336,1017945
"3170","11053","2007-09-01",4338,487913
"3171","19844","2007-09-01",4339,403894
"3172","15562","2010-03-01",4340,884397
"3173","14709","2010-03-01",4341,104242
"3174","14681","2010-03-01",4342,1248576
"3175","21392","2011-03-01",4344,285420
"3176","12799","2011-03-01",4345,702729
"3177","5491","2011-03-01",4346,1216346
"3178","12989","2011-03-01",4347,1190275
"3181","13561","2011-03-01",4350,879098
"3183","16819","2012-09-01",4352,536383
"3184","9661","2012-09-01",4353,682483
"3185","4857","2012-09-01",4354,632342
"3186","8738","2012-09-01",4355,928159
"3187","17238","2012-09-01",4356,651496
"3188","8047","2012-09-01",4357,988557
"3189","11520","2012-09-01",4358,1222678
"3190","14792","2012-09-01",4359,766657
"3191","8102","2012-09-01",4360,1121993
"3193","16718","2012-09-01",4362,1174273
"3194","19994","2012-09-01",4364,1401364
"3195","11030","2012-09-01",4365,258209
"3196","19898","2012-09-01",4366,875262
"3197","12010","2013-03-01",4367,643475
"3198","12027","2013-03-01",4368,643535
"3199","6640","2011-03-01",4369,605591
"3200","9765","2011-03-01",4370,608897
"3201","18324","2011-03-01",4371,1143492
"3202","12454","2011-03-01",4373,484538
"3203","15296","2012-09-01",4375,277844
"3205","7355","2012-09-01",4377,1248195
"3206","16383","2008-09-01",4378,223188
"3207","5294","2008-09-01",4380,707499
"3208","5338","2008-09-01",4381,179352
"3209","12249","2010-03-01",4383,924822
"3210","5396","2008-09-01",4385,91115
"3211","5945","2008-09-01",4386,1035106
"3212","5251","2010-03-01",4387,1057938
"3213","5264","2010-03-01",4388,793427
"3214","12327","2010-03-01",4389,315208
"3215","5314","2008-09-01",4390,1147736
"3216","19001","2010-03-01",4392,753342
"3217","14000","2010-03-01",4393,878302
"3218","17616","2014-09-01",4394,388004
"3219","16047","2008-09-01",4400,606615
"3220","15513","2010-03-01",4401,944546
"3221","15980","2014-09-01",4402,403678
"3222","9467","2008-09-01",4403,1033351
"3223","10190","2008-09-01",4404,1016884
"3224","7656","2008-09-01",4405,1208370
"3225","18449","2010-03-01",4406,1342872
"3226","16449","2010-03-01",4407,1354035
"3227","16141","2008-09-01",4408,167044
"3228","16065","2008-09-01",4409,959585
"3229","18040","2010-03-01",4410,699517
"3230","16110","2013-09-01",4411,77152
"3231","16052","2008-09-01",4413,695117
"3232","16028","2014-09-01",4414,995407
"3233","4994","2008-09-01",4416,236648
"3234","20861","2010-03-01",4417,1402228
"3235","5327","2008-09-01",4420,971741
"3236","15969","2010-03-01",4421,1169785
"3237","16447","2014-09-01",4422,121884
"3238","16499","2008-09-01",4425,1204354
"3239","6795","2016-03-01",4426,679251
"3240","9670","2016-03-01",4427,385355
"3241","17895","2016-03-01",4428,541073
"3242","12129","2016-03-01",4429,258028
"3244","18255","2016-03-01",4432,1363172
"3245","8409","2016-03-01",4433,961521
"3246","9265","2016-03-01",4434,1135634
"3247","13325","2016-03-01",4435,192609
"3248","13885","2016-09-01",4436,262483
"3249","9122","2016-03-01",4437,522458
"3250","16554","2016-03-01",4438,381912
"3251","15437","2016-03-01",4440,1237372
"3252","12121","2016-03-01",4441,101334
"3253","13968","2008-09-01",4444,953790
"3254","11346","2009-03-01",4446,1231039
"3255","21352","2011-03-01",4447,423317
"3256","7694","2009-03-01",4460,806732
"3257","11442","2009-03-01",4461,258220
"3258","20837","2010-03-01",4462,1055471
"3259","13925","2010-03-01",4463,691655
"3260","13886","2010-03-01",4464,163615
"3261","16830","2013-03-01",4466,403339
"3262","13183","2011-03-01",4471,1307873
"3263","12212","2011-03-01",4472,1055627
"3264","12338","2011-03-01",4473,250501
"3265","13254","2008-09-01",4477,525567
"3266","7739","2009-03-01",4481,964686
"3267","13162","2011-03-01",4483,691647
"3268","13567","2013-03-01",4484,613977
"3269","13594","2011-03-01",4488,1168270
"3270","11221","2011-03-01",4489,1102589
"3271","9382","2011-03-01",4490,274400
"3272","20009","2008-09-01",4495,702773
"3273","20811","2009-03-01",4496,174884
"3274","15776","2009-03-01",4497,624798
"3275","4716","2011-03-01",4498,896607
"3276","17970","2011-03-01",4499,1132379
"3277","13582","2013-03-01",4501,86098
"3278","8192","2009-03-01",4505,1297565
"3279","8163","2009-03-01",4506,1121994
"3280","12286","2011-03-01",4507,1134261
"3281","14586","2011-03-01",4508,527840
"3282","12818","2011-03-01",4509,1055580
"3283","10596","2008-09-01",4510,1307547
"3284","18306","2008-09-01",4511,1042419
"3285","13737","2008-09-01",4512,162399
"3286","19224","2008-09-01",4513,1267614
"3287","20270","2008-09-01",4515,967155
"3288","13220","2008-09-01",4516,1131187
"3289","20057","2008-09-01",4518,1406725
"3290","15721","2012-09-01",4519,889396
"3291","15275","2010-03-01",4520,446610
"3292","20055","2011-03-01",4521,1385589
"3293","6788","2011-03-01",4522,870434
"3294","12848","2011-03-01",4523,1319384
"3295","15881","2011-03-01",4524,201156
"3296","15363","2011-03-01",4526,683755
"3297","21341","2011-03-01",4527,12868
"3298","18382","2007-09-01",4528,643895
"3299","18390","2007-09-01",4529,115833
"3300","14826","2008-03-01",4530,513745
"3301","18866","2010-03-01",4531,889367
"3302","20331","2007-09-01",4532,301641
"3303","20347","2007-09-01",4533,389424
"3304","20647","2007-09-01",4534,277138
"3305","15745","2007-09-01",4535,984642
"3306","15723","2007-09-01",4536,24947
"3307","20888","2007-09-01",4537,831776
"3308","16103","2007-09-01",4538,1022011
"3309","19674","2007-09-01",4540,453830
"3310","20303","2007-09-01",4541,1383008
